sale_id,sale_rep_id,sale_date,car_model,sale_amount,commission_pct,sale_status,commission_amount
1,16,2024-11-18,Tundra,44496.88,0.05,Completed,2224.844
2,11,2024-11-08,Tacoma,34824.72,,Pending,0.0
3,5,2024-11-03,Corolla,20275.08,,Completed,0.0
4,20,2024-11-06,Corolla,20068.93,,Completed,0.0
5,1,2024-11-26,Tundra,49811.99,0.03,Completed,1494.3597
6,14,2024-11-28,RAV4,34346.2,0.03,Completed,1030.386
7,12,2024-11-30,RAV4,33073.24,0.03,Completed,992.1972
8,3,2024-11-05,Camry,25561.86,,Completed,0.0
9,9,2024-11-25,RAV4,29690.54,0.03,Pending,890.7162
10,14,2024-11-09,Camry,27321.71,0.03,Completed,819.6513
11,12,2024-11-11,Highlander,40044.87,0.02,Completed,800.8974000000001
12,1,2024-11-23,Tundra,39427.38,0.05,Cancelled,1971.369
13,13,2024-11-08,Tundra,38598.58,0.02,Completed,771.9716000000001
14,2,2024-11-20,Tacoma,33043.74,0.02,Cancelled,660.8747999999999
15,18,2024-11-14,RAV4,28455.43,0.02,Pending,569.1086
16,16,2024-11-10,Corolla,24909.11,0.03,Completed,747.2733
17,1,2024-11-18,Camry,26676.29,,Pending,0.0
18,8,2024-11-02,RAV4,32751.81,,Completed,0.0
19,4,2024-11-26,RAV4,28992.27,,Completed,0.0
20,6,2024-11-10,Tacoma,35503.75,0.03,Completed,1065.1125
21,7,2024-11-06,Corolla,21674.58,0.03,Completed,650.2374
22,14,2024-11-21,RAV4,31273.79,0.05,Pending,1563.6895000000002
23,20,2024-11-23,Tacoma,31705.26,0.05,Pending,1585.263
24,1,2024-11-03,Corolla,24278.39,,Completed,0.0
25,1,2024-11-21,Corolla,20623.99,0.05,Completed,1031.1995000000002
26,13,2024-11-10,RAV4,27702.82,0.02,Completed,554.0564
27,7,2024-11-01,Tacoma,30218.18,0.03,Cancelled,906.5454
28,7,2024-11-12,Tundra,42215.27,0.02,Completed,844.3054
29,2,2024-11-19,RAV4,30624.47,,Completed,0.0
30,2,2024-11-20,RAV4,31643.54,,Completed,0.0
31,9,2024-11-14,Tundra,37537.14,0.03,Completed,1126.1142
32,2,2024-11-07,RAV4,32250.04,,Completed,0.0
33,13,2024-11-20,Tundra,41086.73,0.05,Completed,2054.3365000000003
34,12,2024-11-16,RAV4,29906.67,0.03,Completed,897.2000999999999
35,17,2024-11-04,RAV4,27682.03,0.05,Cancelled,1384.1015
36,7,2024-11-16,Highlander,37439.27,0.03,Completed,1123.1780999999999
37,7,2024-11-06,Corolla,21938.44,,Completed,0.0
38,9,2024-11-16,Corolla,24335.42,,Completed,0.0
39,17,2024-11-06,Corolla,22124.97,0.03,Completed,663.7491
40,10,2024-11-29,Tundra,47028.93,,Completed,0.0
41,19,2024-11-25,Highlander,43114.79,,Completed,0.0
42,19,2024-11-25,Corolla,24906.83,0.03,Completed,747.2049000000001
43,18,2024-11-27,RAV4,28881.36,0.03,Pending,866.4408
44,6,2024-11-07,Tundra,43055.49,0.05,Completed,2152.7745
45,14,2024-11-01,Camry,26362.15,,Completed,0.0
46,14,2024-11-05,Tundra,43660.86,0.03,Completed,1309.8258
47,15,2024-11-28,Tundra,48146.7,,Completed,0.0
48,19,2024-11-10,Highlander,39778.09,0.02,Completed,795.5618
49,5,2024-11-17,Tacoma,38639.78,0.02,Completed,772.7956
50,4,2024-11-29,Tundra,45564.26,0.05,Pending,2278.213
51,16,2024-11-10,RAV4,29984.94,0.05,Completed,1499.247
52,4,2024-11-07,Corolla,22260.1,0.03,Pending,667.8029999999999
53,10,2024-11-13,Tacoma,37559.48,0.02,Completed,751.1896
54,13,2024-11-23,Highlander,35594.89,0.05,Completed,1779.7445
55,14,2024-11-11,Tacoma,34812.88,,Completed,0.0
56,8,2024-11-21,Highlander,39603.9,,Completed,0.0
57,5,2024-11-21,Tundra,36071.88,0.05,Completed,1803.594
58,5,2024-11-10,Corolla,24715.44,,Cancelled,0.0
59,3,2024-11-03,RAV4,28362.26,,Completed,0.0
60,20,2024-11-09,Tundra,40145.75,0.03,Completed,1204.3725
61,5,2024-11-18,Tundra,45270.46,,Completed,0.0
62,13,2024-11-20,RAV4,28641.07,0.03,Completed,859.2321
63,15,2024-11-13,RAV4,29136.08,0.02,Pending,582.7216000000001
64,18,2024-11-20,Camry,26159.94,,Completed,0.0
65,19,2024-11-19,Corolla,20884.03,0.03,Pending,626.5209
66,6,2024-11-29,RAV4,29215.55,0.05,Completed,1460.7775000000001
67,19,2024-11-18,Tundra,41138.18,0.05,Completed,2056.909
68,3,2024-11-14,Highlander,43031.14,0.03,Completed,1290.9342
69,15,2024-11-08,Highlander,42275.25,0.02,Completed,845.505
70,11,2024-11-12,Camry,26260.96,0.02,Completed,525.2192
71,3,2024-11-19,Tacoma,34777.55,0.02,Completed,695.551
72,17,2024-11-05,Highlander,43381.39,0.05,Pending,2169.0695
73,5,2024-11-30,Tacoma,33284.96,0.05,Completed,1664.248
74,15,2024-11-12,Highlander,41785.15,0.05,Completed,2089.2575
75,4,2024-11-09,Highlander,39518.9,0.03,Completed,1185.567
76,2,2024-11-05,Corolla,21450.56,0.03,Completed,643.5168
77,13,2024-11-13,Camry,28313.68,0.03,Pending,849.4104
78,17,2024-11-05,Camry,29492.73,0.02,Pending,589.8546
79,5,2024-11-22,Tacoma,30223.69,0.05,Completed,1511.1845
80,9,2024-11-21,RAV4,30866.96,0.05,Cancelled,1543.348
81,20,2024-11-11,Tundra,42758.21,0.05,Completed,2137.9105
82,19,2024-11-27,Tacoma,35584.2,0.05,Pending,1779.21
83,14,2024-11-11,Highlander,42649.44,,Pending,0.0
84,5,2024-11-17,Tacoma,39894.06,,Completed,0.0
85,18,2024-11-12,Tacoma,39089.41,0.02,Completed,781.7882000000001
86,7,2024-11-12,Tundra,49517.59,,Cancelled,0.0
87,19,2024-11-18,RAV4,33610.01,0.03,Completed,1008.3003
88,8,2024-11-04,Tacoma,34140.12,,Completed,0.0
